source,label,corpus,role,alpha,score,correction,n_points,n_patients,prevalence,n_positive,coverage_mean,coverage_sd,coverage_diagnosis_mean,coverage_diagnosis_sd,coverage_no_diagnosis_mean,coverage_no_diagnosis_sd,mean_set_size_mean,mean_set_size_sd,threshold_no_diagnosis_mean,threshold_diagnosis_mean,threshold_diagnosis_n_infinite,n_draws_target_prior_unidentified,calibration_n_mean,calibration_effective_size_mean,n_draws
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,lac,none,2000,1710,0.822,1644,0.7988,0.0219,0.8338,0.0228,0.6369,0.0321,0.8389,0.0227,0.25123,0.25123,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.2,lac,none,8000,6937,0.82675,6614,0.797,0.0113,0.8375,0.012,0.6039,0.0078,0.838,0.0136,0.25123,0.25123,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.2,lac,none,7983,7983,0.18539,1480,0.479,0.0046,0.9411,0.0045,0.3738,0.0046,0.8302,0.016,0.25123,0.25123,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.2,lac,none,4115,4115,0.17375,715,0.3311,0.0038,0.9793,0.0028,0.1948,0.004,0.7861,0.0186,0.25123,0.25123,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.2,lac,none,4124,4124,0.08754,361,0.2738,0.003,0.9707,0.0031,0.2069,0.003,0.8196,0.0146,0.25123,0.25123,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,lac,mondrian,2000,1710,0.822,1644,0.7993,0.0215,0.7994,0.0248,0.7986,0.0417,0.9281,0.0375,0.68435,0.21431,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.2,lac,mondrian,8000,6937,0.82675,6614,0.8016,0.0127,0.7992,0.0137,0.8134,0.0351,0.9252,0.0354,0.68435,0.21431,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.2,lac,mondrian,7983,7983,0.18539,1480,0.6013,0.0303,0.9258,0.0057,0.5275,0.0372,0.9273,0.0336,0.68435,0.21431,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.2,lac,mondrian,4115,4115,0.17375,715,0.4932,0.0399,0.9714,0.003,0.3926,0.0483,0.9081,0.0427,0.68435,0.21431,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.2,lac,mondrian,4124,4124,0.08754,361,0.4116,0.0347,0.9572,0.0056,0.3593,0.0381,0.9238,0.0372,0.68435,0.21431,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,lac,weighted,2000,1710,0.822,1644,0.7994,0.0213,0.8345,0.022,0.6372,0.0327,0.8398,0.0222,0.25198,0.25199,0,0,1000.8,995.6,200
ptbxl,NSR,ptbxl,home,0.2,lac,weighted,8000,6937,0.82675,6614,0.798,0.0112,0.8385,0.0119,0.6047,0.0077,0.8391,0.0135,0.25232,0.25234,0,0,1000.8,999.4,200
ptbxl,NSR,chapman_ningbo,away,0.2,lac,weighted,7983,7983,0.18539,1480,0.504,0.0066,0.9593,0.0031,0.4004,0.0074,0.913,0.0183,0.35327,0.3506,0,0,1000.8,641.1,200
ptbxl,NSR,georgia,away,0.2,lac,weighted,4115,4115,0.17375,715,0.339,0.0054,0.9838,0.0027,0.2035,0.006,0.8199,0.0212,0.27892,0.27817,0,0,1000.8,941.6,200
ptbxl,NSR,cpsc,away,0.2,lac,weighted,4124,4124,0.08754,361,0.2811,0.0039,0.9743,0.0021,0.2146,0.004,0.8519,0.0163,0.28723,0.28637,0,0,1000.8,912.1,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,aps,none,2000,1710,0.822,1644,0.7986,0.0181,0.8328,0.0174,0.6405,0.0362,0.9088,0.0225,0.7576,0.7576,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.2,aps,none,8000,6937,0.82675,6614,0.7941,0.0135,0.8258,0.0136,0.6426,0.0163,0.9117,0.0187,0.7576,0.7576,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.2,aps,none,7983,7983,0.18539,1480,0.4793,0.0111,0.798,0.0174,0.4067,0.0103,0.9136,0.0182,0.7576,0.7576,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.2,aps,none,4115,4115,0.17375,715,0.3823,0.0113,0.8064,0.0196,0.2931,0.0106,0.9421,0.0197,0.7576,0.7576,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.2,aps,none,4124,4124,0.08754,361,0.3136,0.0094,0.7948,0.0248,0.2674,0.0091,0.9195,0.019,0.7576,0.7576,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,aps,mondrian,2000,1710,0.822,1644,0.7997,0.0168,0.7998,0.019,0.7993,0.0401,1.0104,0.0358,0.8918,0.72465,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.2,aps,mondrian,8000,6937,0.82675,6614,0.7948,0.0128,0.7925,0.0149,0.8061,0.0254,1.0158,0.0339,0.8918,0.72465,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.2,aps,mondrian,7983,7983,0.18539,1480,0.6166,0.0293,0.7634,0.0188,0.5832,0.0358,1.041,0.0331,0.8918,0.72465,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.2,aps,mondrian,4115,4115,0.17375,715,0.5274,0.0315,0.7724,0.0212,0.4759,0.0379,1.0697,0.0355,0.8918,0.72465,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.2,aps,mondrian,4124,4124,0.08754,361,0.4528,0.0311,0.7607,0.0265,0.4232,0.034,1.0364,0.0335,0.8918,0.72465,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,aps,weighted,2000,1710,0.822,1644,0.7992,0.0178,0.8335,0.0172,0.6408,0.0366,0.9094,0.0228,0.75803,0.75802,0,0,1000.8,995.6,200
ptbxl,NSR,ptbxl,home,0.2,aps,weighted,8000,6937,0.82675,6614,0.7949,0.0134,0.8266,0.0134,0.6435,0.0163,0.9129,0.0185,0.75841,0.75835,0,0,1000.8,999.4,200
ptbxl,NSR,chapman_ningbo,away,0.2,aps,weighted,7983,7983,0.18539,1480,0.535,0.0183,0.8555,0.0193,0.462,0.0185,1.0026,0.0285,0.81534,0.81389,0,0,1000.8,641.1,200
ptbxl,NSR,georgia,away,0.2,aps,weighted,4115,4115,0.17375,715,0.3986,0.0131,0.8255,0.0196,0.3088,0.0128,0.9716,0.0224,0.77678,0.77629,0,0,1000.8,941.6,200
ptbxl,NSR,cpsc,away,0.2,aps,weighted,4124,4124,0.08754,361,0.3309,0.0117,0.8189,0.0247,0.2841,0.0113,0.9548,0.0226,0.78171,0.78105,0,0,1000.8,912.1,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.1,lac,none,2000,1710,0.822,1644,0.8978,0.0149,0.9371,0.014,0.7161,0.0287,0.9636,0.0146,0.43504,0.43504,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.1,lac,none,8000,6937,0.82675,6614,0.8903,0.0076,0.9321,0.0074,0.6907,0.0088,0.9651,0.0115,0.43504,0.43504,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.1,lac,none,7983,7983,0.18539,1480,0.5228,0.0051,0.9678,0.0027,0.4215,0.0056,0.9619,0.0115,0.43504,0.43504,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.1,lac,none,4115,4115,0.17375,715,0.3816,0.0053,0.9934,0.0011,0.2529,0.0063,0.9517,0.0153,0.43504,0.43504,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.1,lac,none,4124,4124,0.08754,361,0.3132,0.0053,0.9858,0.001,0.2487,0.0057,0.9591,0.0125,0.43504,0.43504,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.1,lac,mondrian,2000,1710,0.822,1644,0.8987,0.0154,0.8981,0.0178,0.9017,0.0316,1.1696,0.0283,0.84063,0.35045,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.1,lac,mondrian,8000,6937,0.82675,6614,0.9008,0.0058,0.8987,0.0066,0.9107,0.0107,1.1773,0.0285,0.84063,0.35045,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.1,lac,mondrian,7983,7983,0.18539,1480,0.7441,0.0228,0.9596,0.0017,0.695,0.028,1.169,0.0257,0.84063,0.35045,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.1,lac,mondrian,4115,4115,0.17375,715,0.6672,0.0265,0.9889,0.0008,0.5996,0.032,1.2055,0.0296,0.84063,0.35045,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.1,lac,mondrian,4124,4124,0.08754,361,0.565,0.027,0.9802,0.0013,0.5252,0.0296,1.1776,0.0288,0.84063,0.35045,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.1,lac,weighted,2000,1710,0.822,1644,0.8984,0.0148,0.9378,0.0132,0.7163,0.0316,0.9646,0.0157,0.43637,0.43624,0,0,1000.8,995.6,200
ptbxl,NSR,ptbxl,home,0.1,lac,weighted,8000,6937,0.82675,6614,0.8913,0.0076,0.9331,0.0073,0.6918,0.0089,0.9665,0.0115,0.43775,0.43782,0,0,1000.8,999.4,200
ptbxl,NSR,chapman_ningbo,away,0.1,lac,weighted,7983,7983,0.18539,1480,0.6144,0.031,0.9833,0.0026,0.5305,0.0375,1.1192,0.045,0.6893,0.68192,0,0,1000.8,641.1,200
ptbxl,NSR,georgia,away,0.1,lac,weighted,4115,4115,0.17375,715,0.4014,0.0136,0.9947,0.0006,0.2767,0.0164,0.9984,0.0252,0.49917,0.49707,0,0,1000.8,941.6,200
ptbxl,NSR,cpsc,away,0.1,lac,weighted,4124,4124,0.08754,361,0.3399,0.0134,0.9885,0.0011,0.2776,0.0146,1.0125,0.025,0.52088,0.5176,0,0,1000.8,912.1,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.1,aps,none,2000,1710,0.822,1644,0.8993,0.0134,0.9296,0.0118,0.759,0.0321,1.0871,0.0234,0.86383,0.86383,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.1,aps,none,8000,6937,0.82675,6614,0.8966,0.0094,0.9238,0.0087,0.7668,0.0155,1.0919,0.0214,0.86383,0.86383,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.1,aps,none,7983,7983,0.18539,1480,0.5977,0.0149,0.9061,0.0122,0.5275,0.016,1.0976,0.0217,0.86383,0.86383,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.1,aps,none,4115,4115,0.17375,715,0.5034,0.0161,0.9147,0.0138,0.4169,0.0174,1.139,0.023,0.86383,0.86383,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.1,aps,none,4124,4124,0.08754,361,0.4175,0.0144,0.9012,0.0165,0.3712,0.015,1.1029,0.0216,0.86383,0.86383,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.1,aps,mondrian,2000,1710,0.822,1644,0.8998,0.0135,0.8993,0.0148,0.9023,0.0285,1.3035,0.0621,0.95128,0.82835,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.1,aps,mondrian,8000,6937,0.82675,6614,0.8953,0.0097,0.8932,0.0111,0.9052,0.0204,1.3139,0.0612,0.95128,0.82835,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.1,aps,mondrian,7983,7983,0.18539,1480,0.7898,0.0342,0.8707,0.0146,0.7713,0.0418,1.3012,0.046,0.95128,0.82835,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.1,aps,mondrian,4115,4115,0.17375,715,0.7128,0.0411,0.8793,0.0166,0.6778,0.0497,1.3552,0.0531,0.95128,0.82835,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.1,aps,mondrian,4124,4124,0.08754,361,0.6479,0.0497,0.867,0.0202,0.6269,0.0545,1.3191,0.0548,0.95128,0.82835,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.1,aps,weighted,2000,1710,0.822,1644,0.8996,0.0132,0.93,0.0115,0.7589,0.0336,1.0882,0.0244,0.86426,0.86426,0,0,1000.8,995.6,200
ptbxl,NSR,ptbxl,home,0.1,aps,weighted,8000,6937,0.82675,6614,0.8973,0.0094,0.9245,0.0086,0.7678,0.0158,1.0936,0.0214,0.86465,0.86462,0,0,1000.8,999.4,200
ptbxl,NSR,chapman_ningbo,away,0.1,aps,weighted,7983,7983,0.18539,1480,0.6851,0.026,0.9485,0.0113,0.6251,0.0297,1.2206,0.0372,0.90947,0.90772,0,0,1000.8,641.1,200
ptbxl,NSR,georgia,away,0.1,aps,weighted,4115,4115,0.17375,715,0.5341,0.0192,0.9319,0.0131,0.4505,0.0212,1.1833,0.0272,0.8813,0.88077,0,0,1000.8,941.6,200
ptbxl,NSR,cpsc,away,0.1,aps,weighted,4124,4124,0.08754,361,0.4532,0.0188,0.9213,0.0154,0.4083,0.0198,1.1541,0.0265,0.8854,0.8846,0,0,1000.8,912.1,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.05,lac,none,2000,1710,0.822,1644,0.9494,0.0096,0.9839,0.0059,0.7902,0.0309,1.0961,0.0304,0.66098,0.66098,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.05,lac,none,8000,6937,0.82675,6614,0.9439,0.0079,0.9742,0.0044,0.7995,0.0247,1.095,0.03,0.66098,0.66098,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.05,lac,none,7983,7983,0.18539,1480,0.5979,0.0206,0.9824,0.0018,0.5104,0.0249,1.0972,0.0304,0.66098,0.66098,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.05,lac,none,4115,4115,0.17375,715,0.4798,0.0265,0.996,0.0004,0.3712,0.032,1.1246,0.038,0.66098,0.66098,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.05,lac,none,4124,4124,0.08754,361,0.3992,0.0243,0.9907,0.0013,0.3425,0.0265,1.1079,0.0331,0.66098,0.66098,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.05,lac,mondrian,2000,1710,0.822,1644,0.9497,0.0108,0.9491,0.0128,0.9528,0.0205,1.3428,0.04,0.89886,0.46497,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.05,lac,mondrian,8000,6937,0.82675,6614,0.9438,0.0043,0.942,0.0049,0.9523,0.0093,1.3585,0.0418,0.89886,0.46497,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.05,lac,mondrian,7983,7983,0.18539,1480,0.8552,0.0299,0.9714,0.0017,0.8287,0.0368,1.3339,0.0369,0.89886,0.46497,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.05,lac,mondrian,4115,4115,0.17375,715,0.7842,0.0294,0.9943,0.0003,0.74,0.0355,1.3934,0.0365,0.89886,0.46497,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.05,lac,mondrian,4124,4124,0.08754,361,0.6914,0.0373,0.9867,0.0011,0.6631,0.0409,1.3556,0.0393,0.89886,0.46497,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.05,lac,weighted,2000,1710,0.822,1644,0.95,0.01,0.9839,0.0054,0.793,0.0376,1.1,0.0389,0.6658,0.66583,0,0,1000.8,995.6,200
ptbxl,NSR,ptbxl,home,0.05,lac,weighted,8000,6937,0.82675,6614,0.9451,0.0082,0.9748,0.0044,0.8033,0.0265,1.1,0.0327,0.66782,0.66731,0,0,1000.8,999.4,200
ptbxl,NSR,chapman_ningbo,away,0.05,lac,weighted,7983,7983,0.18539,1480,0.7494,0.0261,0.9909,0.0007,0.6944,0.0319,1.3075,0.0353,0.84012,0.83578,0,0,1000.8,641.1,200
ptbxl,NSR,georgia,away,0.05,lac,weighted,4115,4115,0.17375,715,0.5743,0.0301,0.9972,0.0003,0.4854,0.0365,1.2506,0.0388,0.77398,0.77102,0,0,1000.8,941.6,200
ptbxl,NSR,cpsc,away,0.05,lac,weighted,4124,4124,0.08754,361,0.4929,0.0263,0.9917,0.0,0.4451,0.0288,1.228,0.0317,0.78745,0.78473,0,0,1000.8,912.1,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.05,aps,none,2000,1710,0.822,1644,0.9499,0.0096,0.9718,0.0075,0.8488,0.0285,1.247,0.0335,0.92228,0.92228,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.05,aps,none,8000,6937,0.82675,6614,0.9474,0.0064,0.9671,0.0053,0.8532,0.0134,1.2578,0.0306,0.92228,0.92228,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.05,aps,none,7983,7983,0.18539,1480,0.7173,0.0212,0.9614,0.0072,0.6618,0.0247,1.2678,0.0309,0.92228,0.92228,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.05,aps,none,4115,4115,0.17375,715,0.6294,0.0225,0.9702,0.0092,0.5577,0.0258,1.3178,0.0316,0.92228,0.92228,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.05,aps,none,4124,4124,0.08754,361,0.5399,0.0238,0.9576,0.0109,0.4998,0.0255,1.2715,0.0309,0.92228,0.92228,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.05,aps,mondrian,2000,1710,0.822,1644,0.9503,0.009,0.9499,0.0103,0.9523,0.0228,1.5695,0.0767,0.97641,0.89,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.05,aps,mondrian,8000,6937,0.82675,6614,0.9465,0.0067,0.9447,0.0077,0.955,0.0154,1.5784,0.0757,0.97641,0.89,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.05,aps,mondrian,7983,7983,0.18539,1480,0.8943,0.028,0.932,0.0108,0.8857,0.0345,1.4958,0.0503,0.97641,0.89,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.05,aps,mondrian,4115,4115,0.17375,715,0.8484,0.0405,0.9407,0.0123,0.829,0.0492,1.5849,0.0624,0.97641,0.89,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.05,aps,mondrian,4124,4124,0.08754,361,0.81,0.052,0.9265,0.0147,0.7988,0.0571,1.5494,0.0632,0.97641,0.89,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.05,aps,weighted,2000,1710,0.822,1644,0.9502,0.0092,0.972,0.0072,0.8492,0.0288,1.2476,0.0339,0.9225,0.92246,0,0,1000.8,995.6,200
ptbxl,NSR,ptbxl,home,0.05,aps,weighted,8000,6937,0.82675,6614,0.9478,0.0062,0.9674,0.0052,0.8538,0.013,1.2593,0.0298,0.92272,0.92273,0,0,1000.8,999.4,200
ptbxl,NSR,chapman_ningbo,away,0.05,aps,weighted,7983,7983,0.18539,1480,0.8225,0.0302,0.9836,0.0053,0.7858,0.036,1.4333,0.0539,0.95472,0.95309,0,0,1000.8,641.1,200
ptbxl,NSR,georgia,away,0.05,aps,weighted,4115,4115,0.17375,715,0.6699,0.0273,0.98,0.0075,0.6046,0.0318,1.3752,0.0386,0.93532,0.93462,0,0,1000.8,941.6,200
ptbxl,NSR,cpsc,away,0.05,aps,weighted,4124,4124,0.08754,361,0.598,0.0321,0.9718,0.0092,0.5621,0.0347,1.3448,0.0408,0.93858,0.93765,0,0,1000.8,912.1,200
ptbxl,AF,ptbxl-calibration-holdout,calibration holdout,0.2,lac,none,2000,1710,0.0755,151,0.8002,0.0219,0.059,0.0287,0.8604,0.0197,0.8007,0.0219,0.00868,0.00868,0,0,1000.8,1000.8,200
ptbxl,AF,ptbxl,home,0.2,lac,none,8000,6937,0.06875,550,0.7936,0.0126,0.0333,0.0125,0.8497,0.0126,0.795,0.0128,0.00868,0.00868,0,0,1000.8,1000.8,200
ptbxl,AF,sph,away,0.2,lac,none,8000,7671,0.027,216,0.9194,0.006,0.0413,0.0179,0.9438,0.0057,0.9197,0.006,0.00868,0.00868,0,0,1000.8,1000.8,200
ptbxl,AF,chapman_ningbo,away,0.2,lac,none,7983,7983,0.04021,321,0.6532,0.0097,0.0123,0.0058,0.68,0.0099,0.6569,0.0106,0.00868,0.00868,0,0,1000.8,1000.8,200
ptbxl,AF,georgia,away,0.2,lac,none,4115,4115,0.05225,215,0.7379,0.0127,0.0302,0.003,0.7769,0.0133,0.7425,0.0131,0.00868,0.00868,0,0,1000.8,1000.8,200
ptbxl,AF,cpsc,away,0.2,lac,none,4124,4124,0.13312,549,0.6957,0.0132,0.0369,0.0049,0.7968,0.0145,0.7013,0.0133,0.00868,0.00868,0,0,1000.8,1000.8,200
ptbxl,AF,ptbxl-calibration-holdout,calibration holdout,0.2,lac,mondrian,2000,1710,0.0755,151,0.7995,0.0217,0.8033,0.0656,0.7991,0.0227,0.8092,0.0214,0.00447,0.3071,0,0,1000.8,1000.8,200
ptbxl,AF,ptbxl,home,0.2,lac,mondrian,8000,6937,0.06875,550,0.7866,0.0133,0.7758,0.0301,0.7874,0.0142,0.7965,0.0137,0.00447,0.3071,0,0,1000.8,1000.8,200
ptbxl,AF,sph,away,0.2,lac,mondrian,8000,7671,0.027,216,0.907,0.0084,0.839,0.0269,0.9089,0.0086,0.9099,0.0084,0.00447,0.3071,0,0,1000.8,1000.8,200
ptbxl,AF,chapman_ningbo,away,0.2,lac,mondrian,7983,7983,0.04021,321,0.6324,0.0116,0.7314,0.0468,0.6282,0.0119,0.7595,0.016,0.00447,0.3071,0,0,1000.8,1000.8,200
ptbxl,AF,georgia,away,0.2,lac,mondrian,4115,4115,0.05225,215,0.7038,0.0153,0.61,0.0284,0.709,0.0161,0.7297,0.0158,0.00447,0.3071,0,0,1000.8,1000.8,200
ptbxl,AF,cpsc,away,0.2,lac,mondrian,4124,4124,0.13312,549,0.7229,0.0137,0.7153,0.0387,0.724,0.0148,0.7438,0.015,0.00447,0.3071,0,0,1000.8,1000.8,200
ptbxl,AF,ptbxl-calibration-holdout,calibration holdout,0.2,lac,weighted,2000,1710,0.0755,151,0.8001,0.0176,0.0591,0.0276,0.8602,0.0193,0.8007,0.0176,0.00868,0.00869,0,0,1000.8,996.3,200
ptbxl,AF,ptbxl,home,0.2,lac,weighted,8000,6937,0.06875,550,0.7862,0.011,0.0257,0.0094,0.8423,0.0111,0.7874,0.0112,0.00793,0.00793,0,0,1000.8,998.9,200
ptbxl,AF,sph,away,0.2,lac,weighted,8000,7671,0.027,216,0.8936,0.0068,0.0005,0.0022,0.9184,0.0069,0.8938,0.0068,0.00516,0.00512,0,0,1000.8,952.7,200
ptbxl,AF,chapman_ningbo,away,0.2,lac,weighted,7983,7983,0.04021,321,0.717,0.0065,0.1275,0.0245,0.7417,0.0058,0.7399,0.0113,0.03315,0.0339,0,0,1000.8,801.3,200
ptbxl,AF,georgia,away,0.2,lac,weighted,4115,4115,0.05225,215,0.7272,0.0108,0.0283,0.0013,0.7657,0.0114,0.7315,0.011,0.00763,0.00762,0,0,1000.8,997.9,200
ptbxl,AF,cpsc,away,0.2,lac,weighted,4124,4124,0.13312,549,0.7451,0.0116,0.0754,0.0147,0.8479,0.0112,0.7517,0.012,0.01511,0.01526,0,0,1000.8,947.1,200
ptbxl,AF,ptbxl-calibration-holdout,calibration holdout,0.2,aps,none,2000,1710,0.0755,151,0.7998,0.0179,0.814,0.0429,0.7986,0.0184,0.8264,0.0182,0.8029,0.8029,0,0,1000.8,1000.8,200
ptbxl,AF,ptbxl,home,0.2,aps,none,8000,6937,0.06875,550,0.8025,0.0138,0.8105,0.0187,0.8019,0.0139,0.8321,0.0151,0.8029,0.8029,0,0,1000.8,1000.8,200
ptbxl,AF,sph,away,0.2,aps,none,8000,7671,0.027,216,0.8042,0.0139,0.8291,0.025,0.8035,0.0139,0.8135,0.0143,0.8029,0.8029,0,0,1000.8,1000.8,200
ptbxl,AF,chapman_ningbo,away,0.2,aps,none,7983,7983,0.04021,321,0.7114,0.0135,0.8623,0.0179,0.7051,0.0137,0.8819,0.0172,0.8029,0.8029,0,0,1000.8,1000.8,200
ptbxl,AF,georgia,away,0.2,aps,none,4115,4115,0.05225,215,0.7912,0.0139,0.7237,0.0229,0.7949,0.0141,0.8468,0.0157,0.8029,0.8029,0,0,1000.8,1000.8,200
ptbxl,AF,cpsc,away,0.2,aps,none,4124,4124,0.13312,549,0.7922,0.0143,0.7785,0.0168,0.7943,0.0148,0.8507,0.0164,0.8029,0.8029,0,0,1000.8,1000.8,200
ptbxl,AF,ptbxl-calibration-holdout,calibration holdout,0.2,aps,mondrian,2000,1710,0.0755,151,0.8003,0.018,0.8028,0.0656,0.8001,0.019,0.8269,0.0184,0.80449,0.79315,0,0,1000.8,1000.8,200
ptbxl,AF,ptbxl,home,0.2,aps,mondrian,8000,6937,0.06875,550,0.8032,0.0139,0.8002,0.0441,0.8034,0.0144,0.8328,0.0151,0.80449,0.79315,0,0,1000.8,1000.8,200
ptbxl,AF,sph,away,0.2,aps,mondrian,8000,7671,0.027,216,0.8053,0.014,0.8181,0.0503,0.805,0.0143,0.8146,0.0143,0.80449,0.79315,0,0,1000.8,1000.8,200
ptbxl,AF,chapman_ningbo,away,0.2,aps,mondrian,7983,7983,0.04021,321,0.7125,0.0138,0.8526,0.0421,0.7066,0.0143,0.8811,0.0189,0.80449,0.79315,0,0,1000.8,1000.8,200
ptbxl,AF,georgia,away,0.2,aps,mondrian,4115,4115,0.05225,215,0.7922,0.0139,0.7147,0.0471,0.7965,0.0144,0.8476,0.0158,0.80449,0.79315,0,0,1000.8,1000.8,200
ptbxl,AF,cpsc,away,0.2,aps,mondrian,4124,4124,0.13312,549,0.7924,0.0147,0.7691,0.0452,0.7959,0.0152,0.8507,0.0172,0.80449,0.79315,0,0,1000.8,1000.8,200
ptbxl,AF,ptbxl-calibration-holdout,calibration holdout,0.2,aps,weighted,2000,1710,0.0755,151,0.7998,0.0179,0.8141,0.0428,0.7987,0.0184,0.8265,0.0181,0.80308,0.80306,0,0,1000.8,996.3,200
ptbxl,AF,ptbxl,home,0.2,aps,weighted,8000,6937,0.06875,550,0.8028,0.0138,0.8108,0.0187,0.8022,0.0139,0.8324,0.015,0.80319,0.80309,0,0,1000.8,998.9,200
ptbxl,AF,sph,away,0.2,aps,weighted,8000,7671,0.027,216,0.8054,0.0141,0.8295,0.0249,0.8047,0.0141,0.8148,0.0145,0.80419,0.80346,0,0,1000.8,952.7,200
ptbxl,AF,chapman_ningbo,away,0.2,aps,weighted,7983,7983,0.04021,321,0.7095,0.0142,0.8618,0.0187,0.7031,0.0143,0.8798,0.018,0.80085,0.8024,0,0,1000.8,801.3,200
ptbxl,AF,georgia,away,0.2,aps,weighted,4115,4115,0.05225,215,0.7915,0.0139,0.7241,0.0232,0.7952,0.0141,0.8472,0.0157,0.80323,0.80312,0,0,1000.8,997.9,200
ptbxl,AF,cpsc,away,0.2,aps,weighted,4124,4124,0.13312,549,0.7915,0.0144,0.7785,0.0168,0.7935,0.015,0.8499,0.0165,0.80203,0.8028,0,0,1000.8,947.1,200
