source,label,corpus,role,correction,subgroup_kind,subgroup,n_positive,n_positive_patients,thin,coverage,sd_over_calibration_draws,bootstrap_lo,bootstrap_hi,bootstrap_width,chow_coverage,conformal_minus_chow
ptbxl,NSR,georgia,away,mondrian,age,50-64,244,244,False,0.9883,0.0014,0.973,1.0,0.027,0.9882,0.0001
ptbxl,NSR,georgia,away,mondrian,age,65-74,133,133,False,1.0,0.0,1.0,1.0,0.0,1.0,0.0
ptbxl,NSR,georgia,away,mondrian,age,>=75,59,59,False,0.9831,0.0,0.9492,1.0,0.0508,0.9831,-0.0
ptbxl,NSR,cpsc,away,none,all,all,361,361,False,0.9858,0.001,0.9721,0.9969,0.0248,0.9857,0.0001
ptbxl,NSR,cpsc,away,none,sex,male,145,145,False,0.9862,0.0,0.9655,1.0,0.0345,0.9862,0.0
ptbxl,NSR,cpsc,away,none,sex,female,216,216,False,0.9856,0.0016,0.9671,0.9995,0.0323,0.9854,0.0002
ptbxl,NSR,cpsc,away,none,age,<50,233,233,False,0.9909,0.0014,0.9776,1.0,0.0224,0.9908,0.0002
ptbxl,NSR,cpsc,away,none,age,50-64,78,78,False,0.9872,0.0009,0.9617,1.0,0.0383,0.9872,0.0001
ptbxl,NSR,cpsc,away,none,age,65-74,35,35,False,0.9714,0.0,0.9143,1.0,0.0857,0.9714,0.0
ptbxl,NSR,cpsc,away,none,age,>=75,13,13,True,1.0,0.0,1.0,1.0,0.0,1.0,0.0
ptbxl,NSR,cpsc,away,mondrian,all,all,361,361,False,0.9802,0.0013,0.966,0.9933,0.0273,0.9799,0.0002
ptbxl,NSR,cpsc,away,mondrian,sex,male,145,145,False,0.9862,0.0005,0.9654,1.0,0.0346,0.9862,0.0
ptbxl,NSR,cpsc,away,mondrian,sex,female,216,216,False,0.9761,0.0022,0.956,0.9944,0.0385,0.9757,0.0004
ptbxl,NSR,cpsc,away,mondrian,age,<50,233,233,False,0.983,0.0009,0.9659,0.9959,0.03,0.983,0.0
ptbxl,NSR,cpsc,away,mondrian,age,50-64,78,78,False,0.9872,0.0,0.9615,1.0,0.0385,0.9872,0.0
ptbxl,NSR,cpsc,away,mondrian,age,65-74,35,35,False,0.9713,0.002,0.9139,1.0,0.0861,0.9713,0.0
ptbxl,NSR,cpsc,away,mondrian,age,>=75,13,13,True,0.9846,0.0308,0.9538,1.0,0.0462,0.9785,0.0062
ptbxl,AF,ptbxl,home,none,all,all,550,467,False,0.2577,0.0451,0.2189,0.2966,0.0777,0.2506,0.0071
ptbxl,AF,ptbxl,home,none,sex,male,300,255,False,0.2607,0.0464,0.2083,0.32,0.1116,0.2532,0.0075
ptbxl,AF,ptbxl,home,none,sex,female,250,212,False,0.2542,0.0452,0.2037,0.3071,0.1034,0.2474,0.0068
ptbxl,AF,ptbxl,home,none,age,<50,25,24,False,0.2622,0.0496,0.1156,0.4304,0.3148,0.2544,0.0078
ptbxl,AF,ptbxl,home,none,age,50-64,115,95,False,0.2651,0.0367,0.173,0.3694,0.1964,0.2592,0.0059
ptbxl,AF,ptbxl,home,none,age,65-74,155,125,False,0.3095,0.054,0.2323,0.3905,0.1583,0.3011,0.0085
ptbxl,AF,ptbxl,home,none,age,>=75,255,223,False,0.2225,0.0452,0.1784,0.2684,0.0901,0.2156,0.0068
ptbxl,AF,ptbxl,home,mondrian,all,all,550,467,False,0.8932,0.0302,0.8669,0.9184,0.0515,0.8706,0.0226
ptbxl,AF,ptbxl,home,mondrian,sex,male,300,255,False,0.9121,0.0264,0.8802,0.9399,0.0596,0.8932,0.0189
ptbxl,AF,ptbxl,home,mondrian,sex,female,250,212,False,0.8705,0.0351,0.8243,0.9123,0.088,0.8435,0.027
ptbxl,AF,ptbxl,home,mondrian,age,<50,25,24,False,0.6328,0.0294,0.4402,0.8273,0.3871,0.6134,0.0194
ptbxl,AF,ptbxl,home,mondrian,age,50-64,115,95,False,0.9166,0.0216,0.8651,0.9601,0.095,0.899,0.0176
ptbxl,AF,ptbxl,home,mondrian,age,65-74,155,125,False,0.9295,0.0226,0.8887,0.9631,0.0744,0.9133,0.0162
ptbxl,AF,ptbxl,home,mondrian,age,>=75,255,223,False,0.8861,0.0404,0.8451,0.9228,0.0777,0.8571,0.029
ptbxl,AF,sph,away,none,all,all,216,199,False,0.3493,0.045,0.2875,0.4088,0.1214,0.3422,0.007
ptbxl,AF,sph,away,none,sex,male,135,124,False,0.3347,0.0465,0.2625,0.4152,0.1528,0.3274,0.0073
ptbxl,AF,sph,away,none,sex,female,81,75,False,0.3735,0.0435,0.2667,0.4773,0.2107,0.3669,0.0067
ptbxl,AF,sph,away,none,age,<50,18,17,True,0.1489,0.0266,0.0,0.3156,0.3156,0.1436,0.0053
ptbxl,AF,sph,away,none,age,50-64,67,63,False,0.3436,0.0526,0.2309,0.4572,0.2264,0.3365,0.0071
ptbxl,AF,sph,away,none,age,65-74,72,63,False,0.3878,0.0502,0.2843,0.4939,0.2096,0.3799,0.0078
ptbxl,AF,sph,away,none,age,>=75,59,56,False,0.3698,0.0414,0.2552,0.4902,0.235,0.3633,0.0065
ptbxl,AF,sph,away,mondrian,all,all,216,199,False,0.928,0.0212,0.8908,0.959,0.0682,0.9141,0.0139
ptbxl,AF,sph,away,mondrian,sex,male,135,124,False,0.935,0.0174,0.8926,0.9725,0.0799,0.9232,0.0118
ptbxl,AF,sph,away,mondrian,sex,female,81,75,False,0.9164,0.0298,0.859,0.9666,0.1076,0.899,0.0175
ptbxl,AF,sph,away,mondrian,age,<50,18,17,True,0.8522,0.0332,0.6867,0.9994,0.3127,0.8358,0.0164
